PLAYER,POS.,AGE,FROM,TO,YRS,DOLLARS,AAV,TOTAL GTD,GTD AT SIGN,2017 CAP
Latavius Murray\MurrLa00,RB,26,OAK,MIN,3,15000000,5000000,8550000,3400000,2956250
Danny Woodhead\WoodDa02,RB,32,LAC,BAL,3,8800000,2933333,4250000,3250000,1750000
Adrian Peterson\PeteAd01,RB,32,MIN,NO,2,7000000,3500000,3500000,3500000,2250000
Eddie Lacy\LacyEd00,RB,26,GB,SEA,1,4250000,4250000,2865000,2865000,3562500
Jacquizz Rodgers\RodgJa00,RB,27,TB,TB,2,3300000,1650000,600000,600000,1700000
Rex Burkhead\BurkRe00,RB,27,CIN,NE,1,3150000,3150000,1100000,1100000,3150000
Robert Turbin\TurbRo00,RB,27,IND,IND,2,2700000,1350000,500000,500000,1381250
Jamaal Charles\CharJa00,RB,30,KC,DEN,1,2500000,2500000,0,0,1484375
Lance Dunbar\DunbLa00,RB,27,DAL,LAR,1,1500000,1500000,1375000,1375000,1476556
LeGarrette Blount\BlouLe00,RB,30,NE,PHI,1,1250000,1250000,400000,0,975000
Chris Johnson\JohnCh04,RB,31,ARI,ARI,1,1000000,1000000,200000,200000,1000000
Darren McFadden\McFaDa00,RB,30,DAL,DAL,1,980000,980000,80000,80000,695000
C.J. Spiller\SpilC.00,RB,30,NYJ,KC,1,980000,980000,0,0,695000
Andre Ellington\ElliAn00,RB,28,ARI,ARI,1,905000,905000,80000,80000,905000
Brandon Bolden\BoldBr00,RB,27,NE,NE,1,855000,855000,50000,50000,695000
Benny Cunningham\CunnBe01,RB,27,LAR,CHI,1,855000,855000,80000,80000,695000
Travaris Cadet\CadeTr00,RB,28,NO,NO,1,855000,855000,80000,80000,695000
Kenjon Barner\BarnKe00,RB,28,PHI,LAC,1,815000,815000,75000,75000,805625
Branden Oliver\OlivBr01,RB,26,LAC,LAC,1,800000,800000,50000,50000,800000
Bobby Rainey\RainBo00,RB,29,NYG,BAL,1,775000,775000,0,0,615000