ROUND,PICK,TEAM,PLAYER,POS,AGE,COLLEGE,YRS,TOTAL VALUE,SIGNING BONUS,2019 CAP
1,24,OAK,Josh Jacobs\JacoJo01,RB,21,Alabama,4,11933398,6698836,2169709
2,53,PHI,Miles Sanders\SandMi01,RB,21,Penn State,4,5350175,1911036,972759
3,70,LAR,Darrell Henderson\HendDa00,RB,21,Memphis,4,4212005,1090656,767664
3,73,CHI,David Montgomery\MontDa01,RB,21,Iowa State,4,4015380,1046180,756545
3,74,BUF,Devin Singletary\SingDe00,RB,21,Florida Atlantic,4,3898000,1035824,753956
3,87,NE,Damien Harris\HarrDa06,RB,22,Alabama,4,3631136,886136,716534
3,102,MIN,Alexander Mattison\MattAl01,RB,20,Boise State,4,3471172,822172,700543
4,112,WAS,Bryce Love,RB,21,Stanford,4,3274332,754332,642288
4,113,BAL,Justice Hill\HillJu00,RB,21,Oklahoma State,4,3261656,741656680,414
4,122,PIT,Benny Snell\SnelBe00,RB,21,Kentucky,4,3222068,702068,670517
4,128,DAL,Tony Pollard\PollTo00,RB,21,Memphis,4,3187780,667780,661945
5,140,JAC,Ryquell Armstead\ArmsRy00,RB,22,Temple,4,2865756,345756,581439
5,152,ATL,Qadree Ollison\OlliQa00,RB,22,Pittsburgh,4,2831564,311564,572891
5,154,CAR,Jordan Scarlett\ScarJo00,RB,23,Florida,4,2829412,309412,537945
6,182,CIN,Trayveon Williams,RB,21,Texas A&M,4,2701984,181984,540496
6,186,DET,Ty Johnson\JohnTy02,RB,21,Maryland,4,2691904,171904,537976
6,194,GB,Dexter Williams\WillDe07,RB,22,Notre Dame,4,2686056,166056,536514
6,204,SEA,Travis Homer\HomeTr00,RB,20,Miami (FL),4,2662816,142816,530704
6,211,CIN,Rodney Anderson,RB,22,Oklahoma,4,2647353,127356,409839
6,214,KC,Darwin Thompson\ThomDa06,RB,22,Utah State,4,2647840,127840,526960
7,218,DAL,Mike Weber,RB,21,Ohio State,4,2628392,108392,522098
7,222,CHI,Kerrith Whyte\WhytKe00,RB,22,Florida Atlantic,4,2621080,101080,520270
7,234,MIA,Myles Gaskin\GaskMy00,RB,22,Washington,4,2606777,86777,516694