,Player,Team,Salary Cap Value,Cash Spent
0,LeSean McCoy\McCoLe01,Bills,"$8,950,000 ","$6,325,000 "
1,Todd Gurley\GurlTo01,Rams,"$7,228,306 ","$21,950,000 "
2,Ezekiel Elliott\ElliEz00,Cowboys,"$6,806,274 ","$2,718,758 "
3,Lamar Miller\MillLa01,Texans,"$6,750,000 ","$5,703,125 "
4,Leonard Fournette\FourLe00,Jaguars,"$6,070,706 ","$1,599,182 "
5,Jerick McKinnon,49ers,"$6,000,000 ","$11,750,000 "
6,Saquon Barkley\BarkSa00,Giants,"$5,671,773 ","$21,247,092 "
7,Mark Ingram\IngrMa01,Saints,"$5,303,824 ","$3,558,824 "
8,Latavius Murray\MurrLa00,Vikings,"$5,200,000 ","$4,000,000 "
9,David Johnson\JohnDa08,Cardinals,"$5,041,843 ","$13,882,500 "
10,Devonta Freeman\FreeDe00,Falcons,"$5,000,000 ","$2,000,000 "
11,Bilal Powell\PoweBi00,Jets,"$4,883,334 ","$4,000,000 "
12,Marshawn Lynch\LyncMa00,Raiders,"$4,453,125 ","$4,031,250 "
13,Dion Lewis\LewiDi00,Titans,"$4,312,500 ","$6,000,000 "
14,Giovani Bernard\BernGi00,Bengals,"$4,250,000 ","$3,450,000 "
15,Theo Riddick\RiddTh00,Lions,"$4,137,500 ","$3,162,500 "
16,Jonathan Stewart\StewJo00,Giants,"$3,925,000 ","$3,125,000 "
17,Christian McCaffrey\McCaCh01,Panthers,"$3,918,478 ","$1,248,696 "
18,Duke Johnson\JohnDu00,Browns,"$3,894,523 ","$5,967,000 "
19,Melvin Gordon\GordMe00,Chargers,"$3,394,924 ","$1,889,967 "
20,Chris Thompson\ThomCh03,Redskins,"$3,152,250 ","$2,152,250 "
21,Corey Grant\GranCo00,Jaguars,"$2,914,000 ","$2,914,000 "
22,James White\WhitJa02,Patriots,"$2,500,000 ","$2,000,000 "
23,Chris Ivory\IvorCh00,Bills,"$2,468,750 ","$3,156,250 "
24,Rex Burkhead\BurkRe00,Patriots,"$2,312,500 ","$4,250,000 "
25,LeGarrette Blount\BlouLe00,Lions,"$2,000,000 ","$2,000,000 "
26,Isaiah Crowell\CrowIs00,Jets,"$2,000,000 ","$4,000,000 "
27,Rashaad Penny\PennRa00,Seahawks,"$1,957,352 ","$6,389,408 "
28,Jay Ajayi\AjayJa00,Eagles,"$1,907,000 ","$1,907,000 "
29,TJ Yeldon,Jaguars,"$1,881,656 ","$1,241,424 "
30,Sony Michel\MichSo00,Patriots,"$1,750,308 ","$5,561,232 "
31,Damien Williams\WillDa05,Chiefs,"$1,733,333 ","$2,800,000 "
32,Jacquizz Rodgers\RodgJa00,Buccaneers,"$1,600,000 ","$1,600,000 "
33,Doug Martin\MartDo00,Raiders,"$1,475,000 ","$1,475,000 "
34,Derrick Henry\HenrDe00,Titans,"$1,474,890 ","$941,630 "
35,Dalvin Cook\CookDa01,Vikings,"$1,443,934 ","$753,787 "
36,Darren Sproles\SproDa00,Eagles,"$1,433,750 ","$1,415,000 "
37,Nick Chubb\ChubNi00,Browns,"$1,342,381 ","$4,791,905 "
38,Jeremy Hill\HillJe01,Patriots,"$1,331,250 ","$1,218,750 "
39,Ronald Jones II,Buccaneers,"$1,285,805 ","$3,703,220 "
40,Joe Mixon\MixoJo00,Bengals,"$1,238,673 ","$712,735 "
41,Mike Davis\DaviMi01,Seahawks,"$1,237,500 ","$1,350,000 "
42,Carlos Hyde\HydeCa00,Jaguars,"$1,220,588 ","$1,195,588 "
43,Kerryon Johnson\JohnKe06,Lions,"$1,182,490 ","$3,289,960 "
44,Fozzy Whittaker,Panthers,"$1,150,000 ","$1,150,000 "
45,Spencer Ware\WareSp00,Chiefs,"$1,108,334 ","$1,750,000 "
46,Frank Gore\GoreFr00,Dolphins,"$1,105,000 ","$1,105,000 "
47,Benny Cunningham\CunnBe01,Bears,"$1,037,500 ","$1,050,000 "
48,Tevin Coleman\ColeTe01,Falcons,"$977,939 ","$791,628 "
49,Kenyan Drake\DrakKe00,Dolphins,"$910,315 ","$705,000 "
50,Alvin Kamara\KamaAl00,Saints,"$878,193 ","$635,000 "
51,Brandon Bolden\BoldBr00,Dolphins,"$850,000 ","$850,000 "
52,C.J. Prosise\ProsC.00,Seahawks,"$833,116 ","$660,000 "
53,Derrius Guice,Redskins,"$825,806 ","$1,863,224 "
54,Buck Allen,Ravens,"$823,618 ","$705,000 "
55,D'Onta Foreman\ForeDO00,Texans,"$778,371 ","$588,500 "
56,James Conner\ConnJa00,Steelers,"$754,572 ","$578,000 "
57,Cameron Artis-Payne\ArtiCa00,Panthers,"$746,563 ","$705,000 "
58,Royce Freeman\FreeRo00,Broncos,"$729,255 ","$1,477,020 "
59,Devontae Booker\BookDe00,Broncos,"$725,848 ","$630,000 "
60,Alfred Blue\BlueAl00,Texans,"$720,000 ","$880,000 "
61,Samaje Perine\PeriSa00,Redskins,"$719,947 ","$555,000 "
62,Kenneth Dixon\DixoKe00,Ravens,"$717,391 ","$630,000 "
63,Tarik Cohen\CoheTa00,Bears,"$713,289 ","$555,000 "
64,Rod Smith\SmitRo06,Cowboys,"$705,000 ","$705,000 "
65,Raheem Mostert\MostRa00,49ers,"$705,000 ","$705,000 "
66,DeAndre Washington\WashDe00,Raiders,"$697,299 ","$630,000 "
67,Jamaal Williams\WillJa06,Packers,"$696,498 ","$555,000 "
68,Jordan Howard\HowaJo00,Bears,"$692,006 ","$630,000 "
69,Wendell Smallwood\SmalWe00,Eagles,"$691,145 ","$630,000 "
70,Nyheim Hines\HineNy00,Colts,"$661,137 ","$1,204,548 "
71,Marlon Mack\MackMa00,Colts,"$659,912 ","$555,000 "
72,Wayne Gallman\GallWa00,Giants,"$659,912 ","$555,000 "
73,Mark Walton\WaltMa00,Bengals,"$651,337 ","$1,165,348 "
74,Robert Kelley\KellRo00,Redskins,"$631,000 ","$630,000 "
75,Alfred Morris\MorrAl00,49ers,"$630,000 ","$790,000 "
76,Jalen Richard\RichJa01,Raiders,"$630,000 ","$630,000 "
77,Senorise Perry,Dolphins,"$630,000 ","$630,000 "
78,Stevan Ridley\RidlSt00,Steelers,"$630,000 ","$790,000 "
79,Adrian Peterson\PeteAd01,Redskins,"$630,000 ","$1,015,000 "
80,Peyton Barber\BarbPe01,Buccaneers,"$630,000 ","$630,000 "
81,Alex Collins\CollAl00,Ravens,"$630,000 ","$630,000 "
82,David Fluellen\FlueDa00,Titans,"$630,000 ","$630,000 "
83,Malcolm Brown\BrowMa03,Rams,"$630,000 ","$630,000 "
84,Kalen Ballage\BallKa00,Dolphins,"$627,295 ","$1,069,180 "
85,Ito Smith\SmitIt00,Falcons,"$621,453 ","$1,087,107 "
86,Marcus Murphy\MurpMa03,Bills,"$602,118 ","$602,118 "
87,Taiwan Jones,Bills,"$594,529 ","$704,235 "
88,Chase Edmonds\EdmoCh00,Cardinals,"$593,089 ","$932,356 "
89,Chris Carson\CarsCh00,Seahawks,"$571,285 ","$555,000 "
90,Justin Davis\DaviJu00,Rams,"$560,000 ","$555,000 "
91,Austin Ekeler\EkelAu00,Chargers,"$556,666 ","$555,000 "
92,C.J. Ham\HamxC.00,Vikings,"$555,000 ","$555,000 "
93,Matt Breida\BreiMa00,49ers,"$546,254 ","$544,588 "
94,Jordan Wilkins\WilkJo01,Colts,"$540,310 ","$721,240 "
95,T.J. Logan\LogaT.00,Cardinals,"$530,487 ","$480,000 "
96,Corey Clement\ClemCo00,Eagles,"$527,098 ","$523,765 "
97,John Kelly\KellJo00,Rams,"$527,073 ","$668,292 "
98,Brian Hill\HillBr02,Falcons,"$522,353 ","$522,353 "
99,Aaron Jones\JoneAa00,Packers,"$519,369 ","$468,882 "
100,Dwayne Washington\WashDw00,Saints,"$518,824 ","$518,824 "
101,Trenton Cannon\CannTr00,Jets,"$514,807 ","$619,228 "
102,Elijah McGuire\McGuEl00,Jets,"$513,835 ","$471,706 "
103,Byron Marshall\MarsBy01,Redskins,"$490,588 ","$490,588 "
104,Elijhaa Penny\PennEl00,Giants,"$489,706 ","$489,706 "
105,Darrel Williams\WillDa10,Chiefs,"$485,000 ","$495,000 "
106,Mike Boone\BoonMi00,Vikings,"$482,500 ","$487,500 "
107,Buddy Howell,Texans,"$480,000 ","$480,000 "
108,Phillip Lindsay\LindPh00,Broncos,"$478,118 ","$488,118 "
109,Paul Perkins,Giants,"$461,137 ","$398,000 "
110,Shaun Wilson\WilsSh01,Buccaneers,"$435,156 ","$441,823 "
111,Josh Adams\AdamJo03,Eagles,"$423,529 ","$423,529 "
112,Ameer Abdullah\AbduAm00,Vikings,"$412,586 ","$412,586 "
113,Justin Jackson\JackJu01,Chargers,"$395,294 ","$395,294 "
114,Daniel Lasco,Saints,"$393,000 ","$393,000 "
115,D.J. Foster,Cardinals,"$393,000 ","$393,000 "
116,Ty Montgomery\MontTy01,Ravens,"$379,324 ","$379,324 "
117,Zach Zenner\ZennZa00,Lions,"$373,235 ","$373,235 "
118,De'Lance Turner\TurnDe01,Ravens,"$369,177 ","$369,177 "
119,J.D. Moore,Chiefs,"$364,666 ","$368,000 "
120,Johnny Stanton,Vikings,"$363,000 ","$363,000 "
121,Chris Warren,Raiders,"$363,000 ","$363,000 "
122,Elijah Hood,Panthers,"$363,000 ","$363,000 "
123,Anthony Firkser,Titans,"$338,824 ","$338,824 "
124,David Williams\WillDa011,Jaguars,"$338,824 ","$338,824 "
125,Dontrell Hilliard,Browns,"$338,824 ","$338,824 "
126,Gus Edwards\EdwaGu00,Ravens,"$338,824 ","$338,824 "
127,Detrez Newsome\NewsDe00,Chargers,"$310,588 ","$310,588 "
128,Taquan Mizzell\MizzTa00,Bears,"$293,824 ","$293,824 "
129,Matt Dayes,49ers,"$261,176 ","$261,176 "
130,Kenjon Barner\BarnKe00,Panthers,"$259,412 ","$325,294 "
131,Travaris Cadet\CadeTr00,Panthers,"$259,412 ","$325,294 "
132,Tra Carson,Packers,"$226,589 ","$226,589 "
133,Jonathan Williams\WillJo07,Colts,"$222,353 ","$222,353 "
134,Jeff Wilson\WilsJe01,49ers,"$169,412 ","$169,412 "
135,Charcandrick West\WestCh01,Chiefs,"$148,235 ","$148,235 "
136,Trey Edmunds,Steelers,"$130,588 ","$130,588 "
137,Jeremy McNichols\McNiJe00,Titans,"$130,588 ","$130,588 "
138,Jordan Chunn,Cowboys,"$129,200 ","$129,200 "
139,Brian Hill\HillBr02,Falcons,"$129,200 ","$129,200 "
140,Ryan Nall,Bears,"$129,200 ","$129,200 "
141,Reggie Bonnafon,Panthers,"$129,200 ","$129,200 "
142,Robert Martin,Giants,"$121,600 ","$121,600 "
143,Tyler Ervin,Ravens,"$105,000 ","$105,000 "
144,De'Angelo Henderson\HendDe01,Jets,"$97,941 ","$97,941 "
145,Troymaine Pope,Chargers,"$97,941 ","$97,941 "
146,C.J. Anderson\AndeC.00,Rams,"$92,941 ","$92,941 "
147,Keith Ford\FordKe00,Bills,"$84,706 ","$84,706 "
148,Boston Scott,Eagles,"$84,706 ","$84,706 "
149,Brandon Wilds\WildBr01,Cardinals,"$83,600 ","$83,600 "
150,Kapri Bibbs\BibbKa00,Packers,"$82,941 ","$82,941 "
151,Donnel Pumphrey,Eagles,"$76,000 ","$76,000 "
152,James Butler,Raiders,"$76,000 ","$76,000 "
153,Devante Mays,Browns,"$76,000 ","$76,000 "
154,Jeremy Langford\LangJe00,Falcons,"$74,118 ","$74,118 "
155,Darius Jackson\JackDa01,Cowboys,"$65,294 ","$65,294 "
156,Lavon Coleman,Packers,"$56,471 ","$56,471 "
157,Bo Scarbrough,Seahawks,"$56,471 ","$56,471 "
158,Josh Ferguson,Texans,"$53,200 ","$53,200 "
159,Roc Thomas\ThomRo05,Vikings,"$53,200 ","$53,200 "
160,Mark Thompson,Jets,"$38,000 ","$38,000 "
161,Dare Ogunbowale,Buccaneers,"$30,400 ","$30,400 "
162,Ralph Webb,Steelers,"$30,400 ","$30,400 "
163,Dalyn Dawkins,Titans,"$30,400 ","$30,400 "
164,Khalfani Muhammad,Broncos,"$30,400 ","$30,400 "
165,Quinton Flowers,Bengals,"$28,235 ","$28,235 "
166,Joel Bouagnon,Jets,"$22,800 ","$22,800 "
167,Justin Stockton,Lions,"$15,200 ","$15,200 "
168,Russ Hansbrough,Redskins,"$15,200 ","$15,200 "
169,Le'Veon Bell,Steelers,$0 ,$0 