,Player,Team_x,DYAR,YAR,DVOA,VOA,Runs,Yards,EYds,TD,FUM,Rk,Year,Age,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV,Team_y,Salary Cap Value,Cash Spent
0,Dion Lewis\LewiDi00,NE,273,280,0.276,0.28600000000000003,180,896,1090,6,0,71,2017,27,5-149,NWE,NFL,16,8,1,0,0,11,Patriots,1487500.0,1400000.0
1,Todd Gurley\GurlTo01,LARM,268,205,0.139,0.086,279,"1,305",1444,13,5,2,2017,23,10-Jan,LAR,NFL,15,15,1,1,1,19,Rams,3769958.0,1691652.0
2,Alvin Kamara\KamaAl00,NO,255,255,0.445,0.444,120,728,828,8,1,17,2017,22,Mar-67,NOR,NFL,16,3,1,1,0,15,Saints,708193.0,1437772.0
3,Kareem Hunt\HuntKa00,KC,222,248,0.11900000000000001,0.14300000000000002,272,"1,327",1292,8,1,15,2017,22,Mar-86,KAN,NFL,16,16,1,1,0,15,Chiefs,658988.0,1240952.0
4,Le'Veon Bell\BellLe00,PIT,214,261,0.079,0.115,321,"1,315",1462,9,2,9,2017,25,Feb-48,PIT,NFL,15,15,1,1,1,15,Steelers,12120000.0,12120000.0
5,Alex Collins\CollAl00,BAL,205,181,0.151,0.12300000000000001,212,980,1075,6,2,108,2017,23,5-171,BAL,NFL,15,12,1,0,0,9,Ravens,508235.0,508235.0
6,Ezekiel Elliott\ElliEz00,DAL,205,198,0.111,0.105,242,983,1228,7,1,113,2017,22,4-Jan,DAL,NFL,10,10,1,0,0,9,Cowboys,5112702.0,1025186.0
7,Mark Ingram\IngrMa01,NO,193,210,0.11199999999999999,0.128,230,"1,127",1157,12,2,26,2017,28,28-Jan,NOR,NFL,16,13,1,1,0,14,Saints,5345000.0,3700000.0
8,Marshawn Lynch\LyncMa00,OAK,165,131,0.10099999999999999,0.063,207,891,1022,7,1,282,2017,31,12-Jan,OAK,NFL,15,15,1,0,0,7,Raiders,2701838.0,4289338.0
9,Jordan Howard\HowaJo00,CHI,160,122,0.057999999999999996,0.024,276,"1,124",1219,9,1,262,2017,23,5-150,CHI,NFL,16,16,1,0,0,7,Bears,602006.0,540000.0
10,Leonard Fournette\FourLe00,JAC,115,57,0.021,-0.033,268,"1,040",1109,9,2,168,2017,22,4-Jan,JAX,NFL,13,13,1,0,0,8,Jaguars,4936524.0,18351096.0
11,Jamaal Williams\WillJa06,GB,108,86,0.07400000000000001,0.040999999999999995,153,556,760,4,0,330,2017,22,4-134,GNB,NFL,16,7,1,0,0,7,Packers,606498.0,1030992.0
12,Javorius Allen\AlleJa01,BAL,96,67,0.062,0.018000000000000002,153,591,714,4,0,226,2017,26,4-125,BAL,NFL,16,0,1,0,0,7,Ravens,733618.0,615000.0
13,Devonta Freeman\FreeDe00,ATL,89,105,0.015,0.034,195,862,895,7,4,116,2017,25,4-103,ATL,NFL,14,14,1,0,0,9,Falcons,4418106.0,16297000.0
16,Joe Mixon\MixoJo00,CIN,68,-1,0.01,-0.087,177,606,722,4,1,293,2017,21,Feb-48,CIN,NFL,14,7,1,0,0,7,Bengals,990938.0,2568752.0
17,Frank Gore\GoreFr00,IND,66,46,-0.023,-0.042,261,955,1012,3,3,174,2017,34,Mar-65,IND,NFL,16,16,1,0,0,8,Colts,3500000.0,3500000.0
19,Latavius Murray\MurrLa00,MIN,59,58,-0.023,-0.023,216,842,901,8,1,296,2017,27,6-181,MIN,NFL,16,11,1,0,0,7,Vikings,2956250.0,4250000.0
20,Lamar Miller\MillLa01,HOU,57,42,-0.027999999999999997,-0.044000000000000004,238,892,941,3,1,289,2017,26,Apr-97,HOU,NFL,16,13,1,0,0,7,Texans,6500000.0,5500000.0
21,Derrick Henry\HenrDe00,TEN,56,37,-0.012,-0.037000000000000005,176,744,737,5,1,391,2017,23,Feb-45,TEN,NFL,16,2,1,0,0,6,Titans,1229075.0,695815.0
23,Giovani Bernard\BernGi00,CIN,48,43,0.034,0.019,105,458,427,2,0,345,2017,26,Feb-37,CIN,NFL,16,2,1,0,0,6,Bengals,3675000.0,3000000.0
24,Isaiah Crowell\CrowIs00,CLE,46,57,-0.028999999999999998,-0.013999999999999999,205,851,763,2,1,494,2017,24,,CLE,NFL,16,16,1,0,0,5,Browns,2746000.0,2746000.0
26,Jay Ajayi\AjayJa00,2TM,27,21,-0.051,-0.059000000000000004,208,885,725,1,3,225,2017,24,5-149,2TM,NFL,14,8,1,0,0,7,Eagles,325588.0,325588.0
27,DeMarco Murray\MurrDe00,TEN,27,-1,-0.05,-0.08800000000000001,184,659,698,6,1,295,2017,29,Mar-71,TEN,NFL,15,15,1,0,0,7,Titans,6950000.0,6250000.0
28,Melvin Gordon\GordMe00,LACH,21,30,-0.068,-0.06,284,"1,105",1039,8,1,87,2017,24,15-Jan,LAC,NFL,16,16,1,0,0,10,Chargers,2909935.0,1404978.0
29,C.J. Anderson\AndeC.00,DEN,16,74,-0.069,-0.009000000000000001,245,"1,007",862,3,1,228,2017,26,,DEN,NFL,16,16,1,0,0,7,Broncos,3000000.0,3000000.0
31,Tevin Coleman\ColeTe01,ATL,14,9,-0.065,-0.07200000000000001,156,628,576,5,1,248,2017,24,Mar-73,ATL,NFL,15,3,1,0,0,7,Falcons,866311.0,680000.0
32,Carlos Hyde\HydeCa00,SF,12,14,-0.07400000000000001,-0.07200000000000001,239,940,865,8,2,181,2017,27,Feb-57,SFO,NFL,16,16,1,0,0,8,49ers,1171443.0,922047.0
33,Christian McCaffrey\McCaCh01,CAR,11,14,-0.062,-0.055999999999999994,117,435,413,2,1,131,2017,21,8-Jan,CAR,NFL,16,10,1,0,0,9,Panthers,3134782.0,11144128.0
35,Ameer Abdullah\AbduAm00,DET,-9,-47,-0.1,-0.16,165,553,525,4,2,474,2017,24,Feb-54,DET,NFL,14,11,1,0,0,5,Lions,1133489.0,812830.0
36,LeGarrette Blount\BlouLe00,PHI,-9,-5,-0.098,-0.092,173,766,619,2,1,347,2017,31,,PHI,NFL,16,11,1,0,0,6,Eagles,1250000.0,1250000.0
37,Kenyan Drake\DrakKe00,MIA,-14,30,-0.113,-0.03,133,648,441,3,2,375,2017,23,Mar-73,MIA,NFL,16,6,1,0,0,6,Dolphins,800315.0,595000.0
38,Matt Forte\FortMa00,NYJ,-20,11,-0.139,-0.057,103,382,297,2,1,508,2017,32,Feb-44,NYJ,NFL,12,4,1,0,0,5,Jets,5000000.0,4000000.0
39,Jerick McKinnon\McKiJe00,MIN,-24,-25,-0.127,-0.128,150,570,460,3,2,134,2017,25,Mar-96,MIN,NFL,16,1,1,0,0,9,Vikings,828750.0,700000.0
40,LeSean McCoy\McCoLe01,BUF,-26,-7,-0.10800000000000001,-0.092,286,"1,138",962,6,3,73,2017,29,Feb-53,BUF,NFL,16,16,1,1,0,11,Bills,10375000.0,6250000.0
41,Chris Ivory\IvorCh00,JAC,-38,-50,-0.17,-0.19699999999999998,112,386,327,1,2,525,2017,29,,JAX,NFL,14,3,1,0,0,5,Jaguars,6000000.0,5000000.0
42,Bilal Powell\PoweBi00,NYJ,-43,5,-0.14800000000000002,-0.079,178,772,526,5,0,428,2017,29,4-126,NYJ,NFL,15,10,1,0,0,6,Jets,4633333.0,3750000.0
43,Jonathan Stewart\StewJo00,CAR,-54,-34,-0.14800000000000002,-0.126,198,681,650,6,3,571,2017,30,13-Jan,CAR,NFL,15,10,1,0,0,5,Panthers,6175000.0,4218750.0
46,Samaje Perine\PeriSa00,WAS,-85,-63,-0.205,-0.174,174,599,478,1,2,552,2017,22,4-114,WAS,NFL,16,8,1,0,0,5,Redskins,629947.0,1124788.0
48,Duke Johnson\JohnDu00,CLE,90,92,0.157,0.161,81,344,467,4,1,399,2017,24,Mar-77,CLE,NFL,16,0,1,0,0,6,Browns,830023.0,652500.0
53,Rex Burkhead\BurkRe00,NE,56,65,0.105,0.136,64,264,344,5,1,486,2017,27,6-190,NWE,NFL,10,3,1,0,0,5,Patriots,3150000.0,3150000.0
69,Chris Thompson\ThomCh03,WAS,9,8,-0.049,-0.052000000000000005,64,296,219,2,1,448,2017,27,5-154,WAS,NFL,10,1,1,0,0,6,Redskins,2500000.0,4500000.0
73,Tarik Cohen\CoheTa00,CHI,6,4,-0.068,-0.073,87,372,284,2,2,363,2017,22,4-119,CHI,NFL,16,4,1,0,0,6,Bears,623289.0,1098156.0
78,James White\WhitJa02,NE,-1,8,-0.09300000000000001,-0.036000000000000004,43,171,143,0,0,457,2017,25,4-130,NWE,NFL,14,4,1,0,0,6,Patriots,1789272.0,4690000.0
81,Theo Riddick\RiddTh00,DET,-3,-8,-0.095,-0.113,84,286,258,3,1,436,2017,26,6-199,DET,NFL,16,5,1,0,0,6,Lions,2400000.0,1475000.0
